Reference, Quantity, Value, Footprint, MFG#,MFG
C11 C15 C19 C21 C22 C29 C30 C31 C38 C39 C4 C40 ,12,10uF,1210,TPSB106K020R0500,
C23 C24 ,2,18pF,0603,GRM1885C1H180FA01J,
C27 ,1,100uF,2917,T495D107M016ATE125,
C1 C17 C18 C2 C37 ,5,10nF,0805,GRM2195C1H103FA01D,
C10 C12 C13 C14 C16 C20 C25 C26 C28 C3 C32 C33 C34 C35 C41 C6 C8 ,17,100nF,0603,C0603C104K3RACTU,
C36 C5 C7 C9 ,4,1uF,0805,C0805C105J4RACTU,
D1 ,1,S_GRN,"2-SMD, Z-Bend",SSL-LXA228GC-TR31,
D10 D11 D4 D5 D9 ,5,CUS08F30,SOD-323/SC-76,"CUS08F30,H3F",
D12 ,1,3V3_GRN,"2-SMD, Z-Bend",SSL-LXA228GC-TR31,
D13 ,1,5V_GRN,"2-SMD, Z-Bend",SSL-LXA228GC-TR31,
D14 ,1,3V3_A_GRN,"2-SMD, Z-Bend",SSL-LXA228GC-TR31,
D2 ,1,S_RED,"2-SMD, Z-Bend",SSL-LXA228IC-TR31,
D3 ,1,18V,SMA,1SMA5931BT3G,
D6 ,1,RXLED,"2-SMD, Z-Bend",SSL-LXA228YC-TR31,
D7 ,1,TXLED,"2-SMD, Z-Bend",SSL-LXA228YC-TR31,
D8 ,1,10V_GRN,"2-SMD, Z-Bend",SSL-LXA228GC-TR31,
F1 ,1,500mA,1812,0ZCG0050AF2C,
FB1 FB2 ,2,BKP2125HS330-T,0805,BKP2125HS330-T,
GT1 ,1,GND_TIE,3-Net Tie,N/A,
P1 ,1,LOAD_CELL,,,
P2 ,1,PWR,,,
P3 ,1,AVR_ISP,,,
P4 ,1,USB_B,,,
P5 ,1,HALL_EFFECT,,,
R10 ,1,3.9k,0603,RC0603FR-073K9L,
R13 R14 R26 R27 R30 R36 R38 ,7,470,0805,RC0805JR-07470RL,
R11 R12 R15 R16 R17 R18 R19 R20 R21 R22 R23 R25 R33 R34 R35 R7 R8 ,17,39,0603,ESR03EZPJ390,
R1 R2 R24 R3 R31 R32 R4 ,7,10k,0603,ESR03EZPJ103,
R5 R6 R28 R29 R37 R39 R40,7,1k,0603,RNCP0603FTD1K00,
R9 ,1,499,0603,RP73PF1J499RBTDF,
SW1 SW2 SW3,3,SWITCH,TH,B3F-1022,
U1 ,1,LM4040-3.0V,SOT-23-3,LM4040C30IDBZR,
U10 U12 ,2,NCP5501-3V3,DPAK-3,NCP5501DT33RKG,
U11 ,1,NCP5501-5V,DPAK-3,NCP5501DT33RKG,
U2 ,1,AD8226,SOIC-8,AD8226ARZ-R7,
U3 ,1,NHD-C0216CiZ,TH-CUSTOM,NHD-C0216CIZ-FSW-FBW-3V3,
U4 ,1,AD8616,SOIC-8,AD8616ARZ,
U5 ,1,LM2937-10V,SOT-223-4,LM2937IMPX-10/NOPB,
U6 ,1,FT232RL,SSOP-28,FT232RL-REEL,
U7 ,1,74HC7014,SOIC-14,"74HC7014D,118",
U13 U8 ,2,TPD4E1U06,SOT23-6,TPD4E1U06DBVR,
U9 ,1,TXB0106,TSSOP-16,TXB0106PWR,
U14,1,ATMEGA328PB,32 TQFP 0.8mm,ATMEGA328PB-AU,
Y1 ,1,16_MHz,HC49-SMD,AT-16.000MAGE-T,
